,bhattacharyya,bhattacharyyaAngle,count,hellingerDistance,iso,kullbackLeiblerDivergence,labelAspect,labelData
9591,1.794295479300475,1.4037763529504887,294687,0.21647443410078113,ISL,0.18205416542634884,tag value length,nodes with tags
9592,1.4996026729079612,1.3456809457376453,308346,0.27458617562469056,ISL,0.2627357867717491,number of versions,ways
9593,1.7798347904405603,1.4013201941362368,191887,0.04865265685390695,ISL,0.00954229437934421,timespan between versions,ways
9594,1.8205483144689134,1.4081431470518364,873644,0.11351539497870061,ISL,0.05131648857346321,tag value length,ways
9595,2.0031159430253465,1.435469413614903,308346,0.19945574781639583,ISL,0.17679554371407052,number of nodes,ways
9596,1.7724812921317106,1.4000571067000072,5697145,0.051251917209362306,ISL,0.010473892479787122,distance between nodes,ways
9597,1.9170080248790597,1.4232149193363695,308347,0.09383035534237166,ISL,0.03567683524007351,length,ways
9598,1.5952778245358656,1.3665265594766294,113535,0.391933303034197,ISL,0.49593823435113266,number of versions,buildings
9599,1.7691012033013405,1.3994733033479299,28744,0.05493501800984454,ISL,0.011750790807990106,timespan between versions,buildings
9600,1.6731045078228204,1.3820134274700382,368180,0.25293377149869706,ISL,0.22358887050726256,tag value length,buildings
9601,2.3208009081371523,1.4724429259803178,113535,0.5393892524286658,ISL,1.076430508126344,number of nodes,buildings
9602,1.8103317311229872,1.406457748462738,696951,0.1327764666140256,ISL,0.06962687268677159,distance between nodes,buildings
9603,1.6645664877916375,1.38037492940027,113535,0.1142472625871924,ISL,0.0511262535243556,area,buildings
9604,1.4998951945000876,1.3457479219356465,495,0.22291831015652747,ISL,0.18662955454093855,number of versions,residential areas
9605,1.8054785572886751,1.4056509161751247,1006,0.030288297555777395,ISL,0.003659006683555092,timespan between versions,residential areas
9606,1.3476627084222401,1.3079326843507744,667,0.4326974571918669,ISL,0.6600553228893767,tag value length,residential areas
9607,1.8772865497930962,1.417188250345348,495,0.0810933745741072,ISL,0.02757804099545458,number of nodes,residential areas
9608,1.8132587995474316,1.4069424272681466,15134,0.019740379290025666,ISL,0.0015609759797211198,distance between nodes,residential areas
9609,1.796169667255434,1.4040920190173858,495,0.040156057075053944,ISL,0.006535638444485986,area,residential areas
